what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1411900051047
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1411900051047
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1411900051047
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1411900051087
os,sysinfo,,,"win32",1411900051087
arch,sysinfo,,,"x86_64",1411900051087
ws,sysinfo,,,"win32",1411900051087
locale,sysinfo,,,"en_US",1411900051087
processors,sysinfo,,,"4",1411900051087
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1411900051087
java.runtime.version,sysinfo,,,"1.8.0_05-b13",1411900051087
java.specification.name,sysinfo,,,"Java Platform API Specification",1411900051087
java.specification.vendor,sysinfo,,,"Oracle Corporation",1411900051087
java.specification.version,sysinfo,,,"1.8",1411900051087
java.vendor,sysinfo,,,"Oracle Corporation",1411900051087
java.version,sysinfo,,,"1.8.0_05",1411900051087
java.vm.info,sysinfo,,,"mixed mode",1411900051087
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1411900051087
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1411900051087
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1411900051087
java.vm.specification.version,sysinfo,,,"1.8",1411900051087
java.vm.vendor,sysinfo,,,"Oracle Corporation",1411900051087
java.vm.version,sysinfo,,,"25.5-b02",1411900051087
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1411900051137
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1411900051157
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1411900051177
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1411900051237
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1411900051367
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1411900051447
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1411900051467
started,bundle,org.eclipse.emf.ecore,2.6.1.v20100914-1218,"org.eclipse.emf.ecore",1411900051897
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1411900052037
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1411900052167
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1411900052237
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1411900052287
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1411900052287
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1411900052829
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1411900052979
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1411900052979
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.core",1411900053129
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.201.v201011231540,"org.eclipse.jst.ws.jaxrs.core",1411900053179
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1411900053299
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1411900053329
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1411900053689
